,Component_1,Component_2,Component_3,Component_4,IntClustMemb
MB-5518,5.1768093,13.4347105,4.822618,6.0969243,4
MB-7084,5.7249827,13.47095,1.7103851,6.14187,10
MB-5597,4.3632455,12.527482,5.215472,6.5012755,3
MB-7070,3.7220182,11.861708,4.2656612,7.2191143,9
MB-5318,4.569032,11.8467865,5.5157523,7.0689287,5
MB-4234,5.8734646,13.541402,6.2924256,5.8270416,4
MB-3252,3.5538068,13.274588,2.998716,5.9323025,3
MB-4674,3.8595817,13.3280325,5.8545876,6.6278315,7
MB-4173,4.438746,13.651417,5.8789296,6.452348,7
MB-5240,4.1219683,13.672378,4.638996,7.4047055,7
MB-0291,4.082811,11.644086,5.0997844,7.278927,5
MB-0574,4.5003138,11.80624,5.2914724,7.3652606,2
MB-7137,3.2573519,12.510366,4.421211,5.7618136,4
MB-4822,4.224605,13.005631,4.6731086,6.120033,4
MB-0060,4.630379,12.605009,3.61276,6.8828297,10
MB-0611,4.744919,13.412344,3.3234677,7.175932,9
MB-7104,5.2541075,13.792393,1.9906168,6.6784935,6
MB-7008,3.8483033,13.518382,3.0621932,6.492876,4
MB-0134,3.3311312,11.768564,5.6111317,6.6314173,8
MB-0363,4.2292433,12.51472,4.095521,7.600103,2
MB-4880,6.0567136,13.657787,5.7846327,5.8460445,9
MB-7149,4.2587733,11.881662,4.7556324,7.2977996,9
MB-5529,5.5091076,13.475771,1.7173051,6.5159926,10
MB-0114,4.5515184,11.420027,5.9385705,6.1693406,8
MB-0253,2.6885555,13.04117,5.956376,5.888961,4
MB-4934,3.9549248,13.261421,5.7587667,6.883392,7
MB-4961,5.08899,12.278127,6.185558,6.267009,8
MB-0546,3.6309028,13.082737,3.1786342,6.1805396,3
MB-4278,6.2083163,13.667563,5.7130575,5.840922,3
MB-0005,3.7878366,10.844149,4.706146,6.531375,3
MB-3403,3.9505394,11.503305,4.129255,6.6335325,3
MB-5635,3.8164532,13.55013,5.2992587,5.9227757,4
MB-0151,4.204962,12.874052,5.4145103,7.0100727,2
MB-5185,5.4006405,13.144472,5.9510627,5.8814425,4
MB-4298,5.5274267,12.886525,5.9148602,5.6638436,9
MB-0207,3.7419794,11.327011,5.163916,6.9320073,8
MB-5351,4.520148,14.0232935,3.2876418,6.1536613,4
MB-4667,5.7847676,13.662212,5.0290008,5.9762416,4
MB-6271,4.2879305,13.3974695,6.0273685,6.6590247,7
MB-5196,4.6504617,13.295232,5.7045403,6.7405343,7
MB-5167,4.4504848,11.891392,6.0228615,6.0368285,8
MB-0125,3.6353946,11.371487,5.8720922,6.609856,8
MB-7145,5.2962165,13.122814,1.3646766,6.3176246,10
MB-5298,5.4587045,13.345451,1.4675115,6.132681,10
MB-0657,3.8170617,12.966128,3.7422197,5.9930077,4
MB-5408,4.9583006,13.980336,2.151814,6.858538,4
MB-5100,5.334061,13.654032,1.6160545,6.6042128,10
MB-6050,5.102526,12.649059,6.002863,5.7847486,8
MB-2750,3.8873234,11.25701,5.214617,6.3082447,8
MB-7217,3.878269,13.062566,3.9767838,6.049902,3
MB-0284,4.828581,13.139483,1.8218368,6.1586485,10
MB-7275,3.8702996,11.456049,4.234106,6.998877,5
MB-5105,4.569937,13.19411,5.9638906,6.239654,8
MB-4682,4.482657,12.640458,4.9937434,6.883465,9
MB-5120,5.1853223,13.82615,3.1838005,6.607834,5
MB-3079,4.584053,11.335237,5.382591,6.1402254,8
MB-4794,4.052738,13.404527,5.666598,6.9547787,7
MB-4310,6.1840963,13.517153,6.408176,5.777582,7
MB-0528,3.4847662,12.666151,4.0078773,7.3683715,2
MB-7171,4.6436024,13.011438,4.9603395,5.78743,9
MB-2827,5.277373,13.137673,1.4116223,6.0557027,10
MB-2624,3.669814,11.488666,3.5389426,5.564269,3
MB-4823,3.9655712,12.175486,3.0319257,5.690816,5
MB-2846,3.6855085,11.853617,3.3711023,5.5022397,4
MB-4834,5.058761,12.899801,4.4524317,6.3950043,1
MB-0263,3.5164003,12.956977,4.4793367,6.821457,7
MB-0519,4.573222,13.798041,1.9714707,6.869974,4
MB-0184,2.6631567,12.9667015,6.0606346,5.892029,4
MB-3470,3.7779357,11.961176,3.281651,5.5781636,5
MB-2796,3.930877,12.899262,3.6754827,5.828711,2
MB-6317,4.5297766,11.450236,5.4882636,6.6412287,2
MB-6051,5.2379384,12.820781,5.654777,5.5832005,3
MB-4968,4.2520514,13.410276,4.3413825,6.113033,4
MB-6283,4.114916,12.731292,5.767428,6.7939153,7
MB-2745,4.1697536,11.235562,5.624636,6.3562546,8
MB-4908,4.2073183,12.251381,5.135646,6.26286,5
MB-5074,4.9479756,12.964495,5.9432297,6.4216456,3
MB-0483,3.9529407,12.752785,4.4396667,7.7602205,1
MB-3548,3.7065747,11.800394,3.6737354,5.4212112,3
MB-4639,5.042002,12.806963,5.662841,6.8022976,9
MB-6135,4.7257743,13.285029,4.816596,7.577017,9
MB-5348,5.3562517,13.204078,1.6811652,6.1829343,10
MB-7158,5.3019443,13.962674,1.7412456,6.6843014,4
MB-0197,4.165089,12.224783,3.7607868,7.493285,9
MB-2923,4.513201,11.555212,4.2831216,6.496015,5
MB-5119,4.645495,13.878113,5.0031834,6.284806,7
MB-5188,5.365111,13.111735,2.103713,6.3676467,10
MB-4634,4.5168614,13.309757,5.54719,6.02498,3
MB-7231,2.8898284,12.974968,6.01092,5.859698,4
MB-0615,3.4068418,12.013881,3.8912065,6.795122,5
MB-4912,4.914161,12.374656,6.1642594,6.3498936,8
MB-2645,4.1645656,11.691686,4.008028,6.467246,4
MB-6145,5.0332828,13.837601,5.0278034,6.2595773,7
MB-2642,3.9039154,11.534112,3.7410634,6.238824,1
MB-3430,4.5494213,11.663429,4.447832,6.480714,3
MB-4627,4.356091,13.043029,5.4966836,6.5375285,3
MB-0111,3.4491527,11.801165,4.419963,6.505302,3
MB-0620,3.5782368,13.673861,2.9616036,5.8830132,4
MB-0322,3.5090292,12.280332,5.223663,6.68018,8
MB-0516,5.2741556,13.35663,1.6930257,6.161098,10
MB-0634,3.515009,13.36391,2.7040598,6.1315145,4
MB-5331,4.3028164,13.0891695,5.4452786,5.9361744,2
MB-6273,5.946983,13.515345,6.1999736,5.8891726,3
MB-3381,4.4610605,11.805385,4.317494,7.2138586,7
MB-5200,5.2414484,12.785529,5.5422583,7.044222,1
MB-2900,3.712082,12.606444,3.2673826,5.607648,4
MB-4212,5.224706,13.529919,5.733633,5.828912,4
MB-0002,3.7604527,13.155644,4.653393,6.3091073,4
MB-4655,5.8339567,13.014808,5.836501,5.877103,3
MB-3462,3.8719032,12.034168,4.02801,6.5848813,3
MB-2564,3.8138797,11.248167,4.245185,5.7190366,8
MB-5157,4.925075,13.925805,3.4312303,6.2780943,4
MB-6082,4.6505456,13.252316,4.596082,5.783289,7
MB-7208,5.0838633,13.532805,3.7457347,6.375564,10
MB-3865,3.4222531,12.496927,3.6780455,6.285426,3
MB-2747,3.6425643,11.277094,5.527536,6.6102104,8
MB-4897,4.0550933,13.919545,3.5151212,6.001043,4
MB-0576,4.8159513,11.8061695,4.5445313,6.835895,2
MB-4292,6.052616,13.19834,6.42767,5.796261,8
MB-3088,4.1627855,13.613571,5.885996,6.699899,7
MB-6011,4.8868694,13.720477,5.292682,7.302317,1
MB-7250,5.1000133,13.799317,2.670218,6.748664,5
MB-6207,3.9099116,11.4880905,5.8964777,6.6174736,8
MB-0165,4.70769,12.5971575,4.6494374,7.628809,5
MB-5511,4.07905,12.090829,5.3569627,5.8986373,10
MB-5383,5.177946,12.394597,6.2318163,6.1839437,8
MB-0872,4.65116,12.621092,4.702279,7.6073503,7
MB-5259,5.390738,13.818567,3.4923284,6.374095,5
MB-0549,3.6004894,12.668021,4.605806,7.0983367,5
MB-6001,4.8970118,13.189116,4.6421113,5.7036824,3
MB-6052,4.592976,13.599998,2.3058062,6.195597,4
MB-5268,4.4114523,13.252206,5.771361,6.1665187,3
MB-6242,5.5898466,13.544672,1.5517391,6.2854786,10
MB-0535,3.8077042,11.627053,5.1484103,6.6773024,8
MB-7283,4.2053976,12.4888735,5.394931,5.747941,6
MB-4708,4.552682,13.163776,5.7395253,5.868372,3
MB-7199,2.9698029,12.429551,5.952709,6.1290727,8
MB-3046,4.8301053,13.058838,2.2059226,5.9676623,10
MB-5497,4.4704337,12.6977825,4.770048,7.1438656,1
MB-5547,5.8945503,13.376511,1.8073801,6.1099696,10
MB-6016,2.8153343,13.118229,5.9926653,5.8341546,4
MB-7106,4.0163946,12.818899,5.004569,5.372603,2
MB-5171,4.3840923,14.0381565,3.3943148,6.117879,4
MB-0203,3.4549465,11.963268,4.857024,7.2408357,7
MB-4818,2.9650986,12.822015,6.0172596,5.9533195,3
MB-0417,3.9660883,13.346989,5.480778,6.6970315,7
MB-2939,3.6114693,11.58318,3.5869162,6.1072774,5
MB-3854,4.580907,13.129199,4.770201,5.7949076,3
MB-5589,4.9710436,12.017761,5.690759,5.835524,8
MB-5483,4.8122783,13.239455,3.4739828,6.7831564,5
MB-4351,6.2160006,13.404153,6.2166886,5.761569,1
MB-0536,3.7599728,12.838232,4.1125197,7.563111,1
MB-4300,6.2756534,13.637559,6.2050104,5.748056,6
MB-7293,3.611391,11.824534,4.078172,6.877616,3
MB-0616,4.171101,11.344049,5.079057,7.02857,7
MB-0655,3.4322016,13.425104,3.4281762,5.998107,4
MB-5451,4.620686,11.788768,6.1096554,6.2027664,8
MB-7092,4.426804,13.095719,4.625947,5.698612,1
MB-7135,4.1290793,12.645757,5.3186035,5.4704504,5
MB-5178,4.3176913,13.237569,6.050908,6.3220186,6
MB-7132,3.4373999,12.977153,5.594507,6.676296,7
MB-6152,4.999073,13.613336,2.4600296,6.629007,10
MB-5470,5.4532776,13.208501,5.1685905,6.587293,9
MB-3105,3.7075715,11.271739,4.9739122,6.629422,3
MB-7285,3.4481065,11.955679,3.941815,6.794902,6
MB-0522,3.9292753,11.036119,4.747379,6.6390033,5
MB-5258,5.383825,13.139237,1.5679106,5.9759855,10
MB-7061,4.1387243,12.600402,3.4301455,6.7652264,4
MB-5460,4.803104,13.444212,4.3797026,7.067303,9
MB-4779,4.8530865,12.545193,5.077171,5.808456,3
MB-5052,5.255842,13.934127,2.0737617,6.8315287,4
MB-2853,3.4995995,11.86152,3.656799,5.454669,6
MB-7188,3.7425838,12.97992,5.912205,6.7530103,7
MB-0181,3.9111366,13.402843,4.4002457,7.5599117,7
MB-4578,5.485587,13.733428,6.0298104,6.0682964,7
MB-3752,5.2293906,14.121705,1.9121835,6.907464,4
MB-0594,3.197124,12.726653,4.863063,7.103518,4
MB-7088,4.863608,13.31373,4.5213127,5.5878005,5
MB-0586,3.7500758,13.513418,4.635478,6.672518,6
MB-4564,5.0597825,13.934641,5.4424562,7.1819906,7
MB-4802,5.044241,13.319649,5.4750037,6.250717,8
MB-2765,3.847721,11.242267,4.383972,6.529699,3
MB-6014,3.9633179,13.087665,3.5740733,5.9242496,4
MB-5484,5.083785,13.922566,5.458878,7.14821,7
MB-2771,4.9341307,12.9981,1.7088671,6.063557,10
MB-0487,3.2226143,13.075841,3.8821733,6.3938103,3
MB-0480,3.9409132,13.28621,4.567389,7.6098886,9
MB-0102,3.9019237,12.1855345,3.8585093,6.7364063,3
MB-6185,4.600426,12.9074545,5.5011625,5.655645,3
MB-4010,5.1449327,12.42261,5.057342,5.750904,6
MB-7268,4.021184,12.522783,5.1535254,5.860788,8
MB-6080,5.052659,14.186345,1.8651739,7.0199094,4
MB-5428,4.534308,13.838601,4.7575903,6.287506,4
MB-4790,4.8404946,13.138296,5.333934,6.746434,7
MB-5585,4.95317,12.198358,4.6934605,5.989615,8
MB-6168,4.2789164,13.258254,4.296117,7.267871,7
MB-2964,4.2542253,12.30631,3.8085294,6.4788494,5
MB-5576,4.6338654,11.845063,4.230389,6.59369,1
MB-5624,5.4682884,12.951268,3.570892,5.9497757,10
MB-4714,5.543812,13.365553,4.288413,5.8177385,10
MB-3707,3.8172715,12.654003,2.861127,6.574777,4
MB-5301,4.9018564,12.397137,4.807258,5.9126396,8
MB-0328,4.5268493,11.75702,5.4151587,7.2790184,9
MB-5381,5.6719503,13.192976,4.9677334,5.918467,5
MB-7131,3.6723242,11.505839,6.016687,6.6253395,8
MB-0652,4.0976777,12.316833,4.88173,7.539835,5
MB-0351,2.95099,12.406569,5.966301,6.146136,3
MB-4949,5.0782337,13.333649,4.4844055,6.5701203,1
MB-7100,3.3556426,12.625116,5.7625566,5.784335,8
MB-4999,4.32472,13.715542,5.782424,6.3681393,7
MB-5081,4.6084657,13.846157,4.7061825,6.5393333,9
MB-0028,4.6779423,12.1278715,5.111444,7.5391245,9
MB-3037,3.6213233,11.207682,5.2871065,6.4463015,3
MB-6302,4.905752,12.535791,5.1845074,7.37614,9
MB-3382,4.0304594,11.301144,4.3026543,6.93825,5
MB-3025,4.403795,12.694938,4.8797283,5.3364406,5
MB-6071,4.68555,12.721689,4.8108864,7.6244717,7
MB-0667,3.4183156,11.453557,5.039911,7.0282917,1
MB-7244,3.7081993,11.848923,4.74587,6.262319,8
MB-0569,3.8198783,12.132279,3.7626333,6.9315453,4
MB-5116,4.975007,11.985374,6.3609467,6.2756977,2
MB-4119,5.924923,13.610542,6.3038955,5.931667,7
MB-7266,3.938916,12.854405,5.430556,5.704036,9
MB-0502,3.6697266,13.308944,1.2186233,6.6951213,4
MB-5562,3.9874809,12.830788,6.0843306,6.8255825,2
MB-5015,4.8357825,11.638885,6.10513,6.1625094,8
MB-0243,3.9460444,11.584187,5.7168,6.7293158,8
MB-4342,4.256589,13.817215,3.9430428,5.9604692,4
MB-0097,4.0138364,11.590784,5.7099934,6.8651347,8
MB-7226,3.971331,12.498116,5.0025096,6.9066978,6
MB-0464,3.6657221,13.018215,3.8164773,7.2456264,9
MB-2618,4.0385885,11.056334,4.282967,6.598663,1
MB-6125,3.6749828,13.370751,3.29959,6.108767,4
MB-4956,4.532287,13.083178,5.637867,6.8612556,1
MB-4012,6.29818,13.40576,6.4474006,5.7618937,8
MB-0408,4.145101,13.219903,4.486734,7.53448,7
MB-0540,4.84152,14.20889,1.9209647,7.0151935,4
MB-5653,4.959117,12.264864,4.649125,5.9878974,9
MB-5417,4.9458866,14.097641,3.1804233,6.331297,5
MB-3706,5.101653,12.971021,1.4384793,6.180353,10
MB-0403,3.8412275,13.280791,1.9631661,6.4639544,4
MB-3275,3.8474653,11.569273,3.6679974,6.1512513,1
MB-7127,4.2209373,13.672654,4.6921854,7.524446,9
MB-7128,3.8219588,12.868344,4.9139266,5.429901,5
MB-5260,4.182813,13.655145,5.694026,6.3875,7
MB-4270,6.0917845,13.82126,5.387609,6.0585933,9
MB-4876,4.717372,13.844601,1.9301265,6.902977,4
MB-0010,4.040037,11.322508,4.609344,7.0204873,7
MB-0129,3.7577844,11.67244,3.7655277,7.0035152,5
MB-5418,5.3867173,12.347606,5.9040513,5.7911,5
MB-2969,3.7026455,11.5306425,3.413376,5.55947,3
MB-0309,4.0243335,11.641954,6.0264893,6.478951,8
MB-4770,5.095358,13.411184,2.8611948,6.992644,10
MB-0245,3.4095528,11.974246,4.109892,6.86621,3
MB-0579,3.6421573,12.956037,4.943287,6.8572807,7
MB-6062,5.368399,13.906645,1.727244,6.6783996,10
MB-4672,4.628691,13.792891,5.055005,7.553465,7
MB-0390,4.424723,13.477044,1.9645916,6.7703342,5
MB-3104,4.676943,13.098688,5.056695,5.976036,5
MB-6049,4.745297,12.217026,4.9565644,7.1770334,5
MB-6251,5.250652,13.351106,1.8528212,6.2642064,10
MB-5323,5.2296433,14.011975,2.0074587,6.694639,4
MB-0265,3.5866165,13.595344,2.638987,5.9346385,4
MB-4872,4.727296,12.895321,4.6819334,5.840748,3
MB-7205,5.594856,13.025975,1.590067,6.318777,10
MB-5392,4.5820675,13.334083,2.6230059,6.69268,4
MB-5433,4.6035633,13.820701,4.9577637,7.579422,7
MB-0413,4.078807,13.202523,4.976539,6.2627616,2
MB-7057,3.8549068,13.064618,4.5623465,5.594464,4
MB-2629,3.1416872,12.10056,5.423032,6.256619,3
MB-4846,5.0358224,12.091751,5.235546,7.2917366,5
MB-5294,5.105558,13.653234,1.9776877,6.3772483,10
MB-6039,4.939584,13.369892,4.07994,6.906657,9
MB-2847,4.0469666,11.839695,3.788375,5.564125,5
MB-7281,4.649211,13.287777,2.759275,6.447985,5
MB-5208,5.4718013,13.633486,1.7232794,6.499196,10
MB-7212,3.9704998,12.806219,5.27283,5.7172627,3
MB-7252,5.1346016,13.776089,2.4349113,6.7561636,4
MB-2686,4.3562565,11.790763,4.0668626,7.3098507,1
MB-0117,4.4613566,13.163063,4.778531,5.7250547,1
MB-0270,3.4014878,12.251379,5.4033337,6.4378414,10
MB-0469,3.3206198,12.576922,4.3262897,7.3845534,6
MB-4707,5.538059,13.206935,1.4584974,6.253517,10
MB-7235,4.5206823,11.96177,6.182888,6.2054834,8
MB-0397,3.6962583,13.310439,3.4353373,5.9262967,4
MB-0590,4.253748,12.764782,4.5313506,7.849617,9
MB-5084,5.1790204,12.041875,6.125649,6.122925,8
MB-5641,4.8777328,13.834149,5.1563325,7.3438935,2
MB-3092,4.213064,12.015828,6.192737,6.6902723,8
MB-4764,5.120573,12.329667,6.027107,6.267295,3
MB-4836,5.909151,13.35858,6.2137146,5.8774576,4
MB-0153,3.6244674,13.557978,2.823037,6.012188,4
